"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Chris Garcia","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".199",".265",".305",".570",".258"," ","61","0.0","0.0"," ","0.0","0.0","0.0","sa390205"
"Chris Wallace","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".207",".256",".316",".573",".256"," ","63","0.0","0.0"," ","0.0","0.0","0.0","sa526346"
"Austin Gallagher","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".201",".257",".307",".563",".254"," ","61","0.0","0.0"," ","0.0","0.0","0.0","sa389210"
"John Hester","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".202",".258",".305",".563",".254"," ","63","0.0","0.0"," ","0.0","0.0","0.0","877"
"Christopher Duffy","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".202",".244",".323",".566",".252"," ","57","0.0","0.0"," ","0.0","0.0","0.0","sa327090"
"Christopher Serritella","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".202",".243",".324",".567",".252"," ","56","0.0","0.0"," ","0.0","0.0","0.0","sa599332"
"Alex Monsalve","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".253",".312",".565",".252"," ","60","0.0","0.0"," ","0.0","0.0","0.0","sa505988"
"Guilder Rodriguez","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".280",".268",".548",".250"," ","51","0.0","0.0"," ","-0.1","0.0","0.0","3412"
"Edgar Lara"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".201",".240",".322",".562",".250"," ","57","0.0","0.0"," ","0.0","0.0","0.0","sa328986"
"Jake Jefferies","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".209",".258",".297",".556",".250"," ","54","0.0","0.0"," ","-0.1","0.0","0.0","sa454447"
