"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Bryan Anderson","Athletics","31","28","6","1","0","1","3","3","2","7","0","0","0"," ",".224",".282",".346",".628",".281"," ","80","0.0","0.0"," ","-0.7","0.6","0.1","9871"
"Luis Flores","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".213",".291",".331",".623",".281"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa454795"
"Martin Maldonado","Brewers","169","153","33","6","0","4","15","17","12","42","2","1","1"," ",".218",".279",".349",".628",".280"," ","73","-0.2","0.2"," ","-5.3","3.7","0.4","6887"
"Edward Easley","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".287",".338",".625",".279"," ","77","0.0","0.0"," ","0.0","0.0","0.0","2487"
"Stuart Turner","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".278",".349",".627",".279"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa737625"
"A.J. Pierzynski","Braves","172","161","39","7","1","3","14","17","7","29","2","1","0"," ",".242",".279",".355",".634",".279"," ","76","-1.1","-0.4"," ","-5.8","3.1","0.3","746"
"Brett Nicholas","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".279",".350",".630",".279"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa548340"
"Taylor Teagarden","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".207",".271",".356",".627",".279"," ","80","0.0","0.0"," ","0.0","0.0","0.0","5199"
"Anthony Recker","Mets","121","109","23","5","0","4","11","12","9","37","1","1","1"," ",".207",".270",".356",".626",".279"," ","79","0.1","0.0"," ","-2.7","1.9","0.3","4063"
"Kyle Schwarber","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".272",".355",".627",".279"," ","73","0.0","0.0"," ","0.0","0.0","0.0","16478"
"Chris Gimenez","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".294",".323",".618",".279"," ","78","0.0","0.0"," ","0.0","0.0","0.0","7324"
"David Ross","Cubs","115","103","21","4","0","3","10","11","9","38","1","1","1"," ",".206",".275",".346",".621",".278"," ","72","-0.4","0.3"," ","-4.0","2.7","0.2","1551"
"Gerald Laird","Diamondbacks","173","156","36","8","0","2","14","14","13","31","2","1","1"," ",".232",".295",".324",".620",".278"," ","70","-0.5","0.1"," ","-6.3","3.7","0.3","1698"
"Francisco Pena","Royals","31","29","6","1","0","1","3","3","1","6","0","0","0"," ",".219",".258",".373",".631",".278"," ","74","0.0","0.0"," ","-0.9","0.7","0.1","8298"
"John Buck","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".217",".286",".335",".621",".277"," ","80","0.0","0.0"," ","0.0","0.0","0.0","2041"
"Rafael Lopez","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".295",".322",".617",".277"," ","72","0.0","0.0"," ","0.0","0.0","0.0","12606"
"Chun-Hsiu Chen","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".280",".339",".620",".277"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa455954"
"Jair Fernandez","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".280",".338",".618",".277"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa324904"
"Jeremy Lucas","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".279",".339",".618",".277"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa503053"
"James McCann","Tigers","173","161","39","9","0","3","16","16","7","32","2","2","1"," ",".241",".277",".345",".623",".276"," ","72","0.0","-0.2"," ","-5.3","3.5","0.4","12859"
"Hector Gimenez","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".267",".356",".623",".276"," ","71","0.0","0.0"," ","0.0","0.0","0.0","2172"
"Eric Fryer","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".288",".325",".613",".276"," ","74","0.0","0.0"," ","0.0","0.0","0.0","8145"
"Brett Hayes","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".221",".260",".368",".628",".276"," ","73","0.0","0.0"," ","0.0","0.0","0.0","4293"
"Chris O'Dowd","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".282",".335",".617",".276"," ","56","0.0","0.0"," ","0.0","0.0","0.0","sa503377"
"Jorge Alfaro","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".265",".356",".622",".275"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa551307"
"Caleb Joseph","Orioles","159","146","33","6","0","4","15","16","9","35","1","1","1"," ",".222",".270",".351",".620",".275"," ","72","-0.3","1.5"," ","-5.2","4.9","0.5","7087"
"Chris Stewart","Pirates","184","166","39","7","0","2","15","15","13","30","2","2","1"," ",".234",".298",".312",".610",".275"," ","75","-0.3","-0.1"," ","-5.4","3.9","0.4","3878"
"Luis Alvarez","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".268",".351",".619",".275"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa503151"
"Chris Mcmurray"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".280",".330",".610",".275"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa454906"
"Cole Armstrong","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".279",".333",".612",".275"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa225831"
"Justin Dalles","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".267",".351",".618",".274"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa327844"
"Lou Marson","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".297",".300",".596",".273"," ","75","0.0","0.0"," ","0.0","0.0","0.0","7610"
"Jordan Pacheco","Diamondbacks","117","108","26","6","0","1","9","10","6","18","1","1","1"," ",".241",".283",".329",".612",".273"," ","67","-0.2","-0.8"," ","-4.5","-2.3","-0.4","2677"
"Salomon Manriquez"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".273",".342",".615",".273"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa200367"
"Adrian Nieto","White Sox","60","54","12","2","0","1","6","6","4","14","0","1","0"," ",".216",".276",".333",".609",".273"," ","69","0.0","-0.3"," ","-2.1","0.9","0.1","10294"
"Jett Bandy","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".271",".341",".612",".273"," ","77","0.0","0.0"," ","0.0","0.0","0.0","12508"
"Bryan Holaday","Tigers","91","84","20","4","0","1","8","8","5","17","1","1","0"," ",".234",".279",".332",".611",".273"," ","70","-0.1","-0.4"," ","-3.1","1.4","0.1","11287"
"Kris Watts","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".282",".321",".603",".272"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa327874"
"Austin Romine","Yankees","63","58","13","2","0","1","6","6","4","13","0","0","0"," ",".224",".274",".336",".610",".272"," ","69","0.0","-0.1"," ","-2.2","1.2","0.1","5491"
"Craig Manuel","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".284",".322",".605",".272"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa577995"
"Matt Spring","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".205",".255",".357",".613",".272"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa253802"
"Sean Ochinko","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".265",".348",".612",".272"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa501639"
"Raywilly Gomez","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".287",".320",".606",".272"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa503268"
"Curt Casali","Rays","104","93","20","4","0","2","9","9","9","24","1","1","0"," ",".212",".285",".315",".600",".272"," ","76","0.0","-0.1"," ","-2.8","2.1","0.3","12510"
